DATETIME,GAS,COAL,NUCLEAR,WIND,HYDRO,IMPORTS,BIOMASS,OTHER,SOLAR,STORAGE,GENERATION,CARBON_INTENSITY,LOW_CARBON,ZERO_CARBON,RENEWABLE,FOSSIL,GAS_perc,COAL_perc,NUCLEAR_perc,WIND_perc,HYDRO_perc,IMPORTS_perc,BIOMASS_perc,OTHER_perc,SOLAR_perc,STORAGE_perc,GENERATION_perc,LOW_CARBON_perc,ZERO_CARBON_perc,RENEWABLE_perc,FOSSIL_perc
2023-02-01 00:00:00,3035.0,323.0,4803.0,19565.0,340,2164.0,1797.0,184.0,0.0,0,32211.0,64.0,26505.0,24708.0,19905.0,3358.0,9.4,1.0,14.9,60.7,1.1,6.7,5.6,0.6,0.0,0.0,100.0,82.3,76.7,61.8,10.4
2023-02-01 00:30:00,3393.0,394.0,4807.0,19559.0,339,2314.0,1827.0,213.0,0.0,0,32846.0,71.0,26532.0,24705.0,19898.0,3787.0,10.3,1.2,14.6,59.5,1.0,7.0,5.6,0.6,0.0,0.0,100.0,80.8,75.2,60.6,11.5
2023-02-01 01:00:00,3405.0,448.0,4806.0,19475.0,348,2244.0,1962.0,186.0,0.0,0,32874.0,73.0,26591.0,24629.0,19823.0,3853.0,10.4,1.4,14.6,59.2,1.1,6.8,6.0,0.6,0.0,0.0,100.0,80.9,74.9,60.3,11.7
2023-02-01 01:30:00,3180.0,406.0,4806.0,19297.0,351,2192.0,2007.0,161.0,0.0,0,32400.0,69.0,26461.0,24454.0,19648.0,3586.0,9.8,1.3,14.8,59.6,1.1,6.8,6.2,0.5,0.0,0.0,100.0,81.7,75.5,60.6,11.1
2023-02-01 02:00:00,3035.0,283.0,4807.0,19289.0,348,2140.0,1972.0,170.0,0.0,0,32044.0,64.0,26416.0,24444.0,19637.0,3318.0,9.5,0.9,15.0,60.2,1.1,6.7,6.2,0.5,0.0,0.0,100.0,82.4,76.3,61.3,10.4
2023-02-01 02:30:00,2833.0,269.0,4806.0,19386.0,345,2060.0,1937.0,152.0,0.0,0,31788.0,60.0,26474.0,24537.0,19731.0,3102.0,8.9,0.8,15.1,61.0,1.1,6.5,6.1,0.5,0.0,0.0,100.0,83.3,77.2,62.1,9.8
2023-02-01 03:00:00,2840.0,261.0,4805.0,19373.0,346,1494.0,1737.0,161.0,0.0,0,31017.0,59.0,26261.0,24524.0,19719.0,3101.0,9.2,0.8,15.5,62.5,1.1,4.8,5.6,0.5,0.0,0.0,100.0,84.7,79.1,63.6,10.0
2023-02-01 03:30:00,2686.0,293.0,4805.0,19891.0,346,1456.0,1624.0,158.0,0.0,0,31259.0,57.0,26666.0,25042.0,20237.0,2979.0,8.6,0.9,15.4,63.6,1.1,4.7,5.2,0.5,0.0,0.0,100.0,85.3,80.1,64.7,9.5
2023-02-01 04:00:00,2853.0,274.0,4806.0,19934.0,346,1608.0,1704.0,150.0,0.0,0,31675.0,59.0,26790.0,25086.0,20280.0,3127.0,9.0,0.9,15.2,62.9,1.1,5.1,5.4,0.5,0.0,0.0,100.0,84.6,79.2,64.0,9.9
2023-02-01 04:30:00,2859.0,237.0,4806.0,19828.0,346,1638.0,1828.0,146.0,0.0,0,31688.0,59.0,26808.0,24980.0,20174.0,3096.0,9.0,0.7,15.2,62.6,1.1,5.2,5.8,0.5,0.0,0.0,100.0,84.6,78.8,63.7,9.8
2023-02-01 05:00:00,2948.0,248.0,4806.0,19580.0,386,1970.0,1917.0,154.0,0.0,0,32009.0,62.0,26689.0,24772.0,19966.0,3196.0,9.2,0.8,15.0,61.2,1.2,6.2,6.0,0.5,0.0,0.0,100.0,83.4,77.4,62.4,10.0
2023-02-01 05:30:00,3206.0,385.0,4807.0,19528.0,386,2182.0,2023.0,172.0,0.0,0,32689.0,71.0,26744.0,24721.0,19914.0,3591.0,9.8,1.2,14.7,59.7,1.2,6.7,6.2,0.5,0.0,0.0,100.0,81.8,75.6,60.9,11.0
2023-02-01 06:00:00,3403.0,488.0,4807.0,19504.0,401,2480.0,2021.0,216.0,0.0,0,33320.0,77.0,26733.0,24712.0,19905.0,3891.0,10.2,1.5,14.4,58.5,1.2,7.4,6.1,0.6,0.0,0.0,100.0,80.2,74.2,59.7,11.7
2023-02-01 06:30:00,4306.0,732.0,4803.0,19892.0,404,2534.0,2022.0,504.0,0.0,160,35357.0,92.0,27121.0,25099.0,20296.0,5038.0,12.2,2.1,13.6,56.3,1.1,7.2,5.7,1.4,0.0,0.5,100.0,76.7,71.0,57.4,14.2
2023-02-01 07:00:00,5334.0,914.0,4806.0,19736.0,465,2314.0,2008.0,707.0,0.0,0,36284.0,104.0,27015.0,25007.0,20201.0,6248.0,14.7,2.5,13.2,54.4,1.3,6.4,5.5,1.9,0.0,0.0,100.0,74.5,68.9,55.7,17.2
2023-02-01 07:30:00,5769.0,973.0,4803.0,19687.0,632,2200.0,2013.0,661.0,1.0,532,37271.0,105.0,27136.0,25123.0,20320.0,6742.0,15.5,2.6,12.9,52.8,1.7,5.9,5.4,1.8,0.0,1.4,100.0,72.8,67.4,54.5,18.1
2023-02-01 08:00:00,6123.0,977.0,4806.0,19814.0,675,2416.0,2021.0,299.0,230.0,504,37865.0,105.0,27546.0,25525.0,20719.0,7100.0,16.2,2.6,12.7,52.3,1.8,6.4,5.3,0.8,0.6,1.3,100.0,72.7,67.4,54.7,18.8
2023-02-01 08:30:00,6270.0,972.0,4807.0,19898.0,673,2424.0,2009.0,316.0,994.0,426,38789.0,104.0,28381.0,26372.0,21565.0,7242.0,16.2,2.5,12.4,51.3,1.7,6.2,5.2,0.8,2.6,1.1,100.0,73.2,68.0,55.6,18.7
2023-02-01 09:00:00,6366.0,910.0,4806.0,19754.0,682,2850.0,2015.0,360.0,1881.0,426,40050.0,101.0,29138.0,27123.0,22317.0,7276.0,15.9,2.3,12.0,49.3,1.7,7.1,5.0,0.9,4.7,1.1,100.0,72.8,67.7,55.7,18.2
