,rego_name,accreditation_number,lead_party_name,lead_party_id,rego_technology,bmu_fuel_type,bmu_ids,rego_mw,bmu_net_mw,rego_bmu_power_ratio,rego_gwh,bmu_gwh,rego_bmu_monthly_volume_ratio_min,rego_bmu_monthly_volume_ratio_median,rego_bmu_monthly_volume_ratio_max,rego_capacity_factor,bmu_capacity_factor,rego_sample_months,bmu_sample_months,s: words_intersection,"s: p(1, 3)","s: p(3, inf)",s: contiguous_words,"s: p(3, inf)",s: volume_ratio_p50,"s: p(0.7, 1.05)","s: p(0.9, 1.05)",s: volume_ratio_min,"s: p(0.1, 1.0)",s: volume_ratio_max,"s: p(0.5, 1.1)",s: power_ratio,"s: p(0.5, 2)","s: p(0.95, 1.05)",s: p_overall,score
0,Drax Power Station (REGO),G01821BWEN,Drax Power Ltd,DRAX,Biomass (e.g. Plant or animal matter)  ,BIOMASS,"T_DRAXX-1, T_DRAXX-2, T_DRAXX-3, T_DRAXX-4",3865.00,2547.03,1.52,12425.57,12577.20,0.78,1.03,1.04,0.37,0.56,12,12,2.00,0.50,1.00,2.00,1.00,1.03,0.50,0.10,0.78,0.50,1.04,0.50,1.52,0.50,1.00,0.00,very probable
0,Walney Extension,G01177FWEN,Walney Extension Ltd,DONG012,Off-shore wind (REGO code = FW),WIND,"T_WLNYO-3, T_WLNYO-4",648.00,650.35,1.00,2383.63,2666.11,0.58,0.97,1.01,0.42,0.47,12,12,2.00,0.50,1.00,2.00,1.00,0.97,0.50,0.10,0.58,0.50,1.01,0.50,1.00,0.50,0.10,0.00,near certain
0,Triton Knoll Offshore Windfarm,G01187FWEN,Triton Knoll Offshore Wind,TKWFL,Off-shore wind (REGO code = FW),WIND,"T_TKNEW-1, T_TKNWW-1",847.48,810.87,1.05,2305.09,2894.15,0.53,0.80,1.00,0.31,0.41,12,12,3.00,1.00,0.10,3.00,0.10,0.80,0.50,1.00,0.53,0.50,1.00,0.50,1.05,0.50,0.10,0.00,near certain
0,East Anglia One Offshore Wind,G01183FWEN,East Anglia One Limited,EAOWIND,Off-shore wind (REGO code = FW),WIND,"T_EAAO-1, T_EAAO-2",680.00,710.90,0.96,2288.81,2685.64,0.32,0.89,1.00,0.38,0.43,12,12,4.00,1.00,0.10,4.00,0.10,0.89,0.50,1.00,0.32,0.50,1.00,0.50,0.96,0.50,0.10,0.00,near certain
0,London Array Offshore Windfarm,G01167FWEN,London Array Limited,LAOWF,Off-shore wind (REGO code = FW),WIND,"T_LARYW-1, T_LARYW-2, T_LARYW-3, T_LARYW-4",625.80,662.10,0.95,2116.13,2134.25,0.96,1.00,1.01,0.39,0.37,12,12,2.00,0.50,1.00,2.00,1.00,1.00,0.50,0.10,0.96,0.50,1.01,0.50,0.95,0.50,1.00,0.00,very probable
0,Race Bank,G01176FWEN,Race Bank Wind Farm Ltd,DONG011,Off-shore wind (REGO code = FW),WIND,"T_RCBKO-1, T_RCBKO-2",565.00,568.00,0.99,1961.87,2147.72,0.25,1.00,1.01,0.40,0.43,12,12,2.00,0.50,1.00,2.00,1.00,1.00,0.50,0.10,0.25,0.50,1.01,0.50,0.99,0.50,0.10,0.00,near certain
0,Moray Offshore Windfarm (East) Limited,G00010FWSC,Moray Offshore Wind East Ltd,MOWEL,Off-shore wind (REGO code = FW),WIND,"T_MOWEO-1, T_MOWEO-2, T_MOWEO-3",900.00,888.00,1.01,1927.98,2641.58,0.15,0.77,0.77,0.24,0.34,12,12,3.00,1.00,0.10,2.00,1.00,0.77,0.50,1.00,0.15,0.50,0.77,0.50,1.01,0.50,0.10,0.00,near certain
0,Beatrice Offshore Wind Farm,G00008FWSC,Beatrice Offshore Windfarm Ltd,BOWL001,Off-shore wind (REGO code = FW),WIND,"T_BEATO-1, T_BEATO-2, T_BEATO-3, T_BEATO-4",588.00,654.10,0.90,1909.60,1985.94,0.73,1.00,1.01,0.37,0.35,12,12,2.00,0.50,1.00,2.00,1.00,1.00,0.50,0.10,0.73,0.50,1.01,0.50,0.90,0.50,1.00,0.00,very probable
0,Hornsea 1 - Phase 3,G01186FWEN,Hornsea 1 Limited,DONG013,Off-shore wind (REGO code = FW),WIND,T_HOWAO-3,400.00,392.70,1.02,1604.51,1714.52,0.82,0.93,1.10,0.46,0.50,12,12,,1.00,1.00,,1.00,0.93,0.50,0.10,0.82,0.50,1.10,1.00,1.02,0.50,0.10,0.00,very probable
0,Soundmark Wind Limited,G01190FWEN,Soundmark Wind Limited,ORSTED03,Off-shore wind (REGO code = FW),WIND,T_HOWBO-3,440.00,434.65,1.01,1588.82,1774.46,0.55,1.00,1.01,0.41,0.47,12,12,1.00,0.50,1.00,3.00,0.10,1.00,0.50,0.10,0.55,0.50,1.01,0.50,1.01,0.50,0.10,0.00,near certain
