accreditation_number,station_name,station_tic,scheme,country,technology_group,generation_type,output_period,certificate_count,certificate_start,certificate_end,mwh_per_certificate,issue_date,certificate_status,status_date,current_holder,company_registration_number,rego_gwh,tech,start_year_month,end_year_month,period_months
G01821BWEN,Drax Power Station (REGO),4065000.0,REGO,England,Biomass,,Mar-2023,650422,G01821BWEN0000005000010323310323GEN,G01821BWEN0000655421010323310323GEN,1.0,2023-05-15,Redeemed,2023-07-01,Drax Energy Solutions Limited (Supplier),,650.422,biomass,2023-03-01,2023-04-01,1
G01821BWEN,Drax Power Station (REGO),4065000.0,REGO,England,Biomass,,Mar-2023,500000,G01821BWEN0000655422010323310323GEN,G01821BWEN0001155421010323310323GEN,1.0,2023-05-15,Redeemed,2023-07-01,British Gas Trading Ltd,,500.0,biomass,2023-03-01,2023-04-01,1
G01187FWEN,Triton Knoll Offshore Windfarm,857250.0,REGO,England,Off-shore Wind,,01/03/2023 - 31/03/2023,17327,G01187FWEN0000296748010323310323GEN,G01187FWEN0000314074010323310323GEN,1.0,2023-05-18,Redeemed,2023-07-01,British Gas Trading Ltd,,17.327,wind,2023-03-01,2023-04-01,1
G01187FWEN,Triton Knoll Offshore Windfarm,857250.0,REGO,England,Off-shore Wind,,01/03/2023 - 31/03/2023,296748,G01187FWEN0000000000010323310323GEN,G01187FWEN0000296747010323310323GEN,1.0,2023-05-18,Redeemed,2023-07-01,British Gas Trading Ltd,,296.748,wind,2023-03-01,2023-04-01,1
G01177FWEN,Walney Extension,659000.0,REGO,England,Off-shore Wind,,01/03/2023 - 31/03/2023,10251,G01177FWEN0000230783010323310323GEN,G01177FWEN0000241033010323310323GEN,1.0,2023-04-25,Redeemed,2023-07-01,E.ON Next Energy Limited,,10.251,wind,2023-03-01,2023-04-01,1
G01177FWEN,Walney Extension,659000.0,REGO,England,Off-shore Wind,,01/03/2023 - 31/03/2023,230783,G01177FWEN0000000000010323310323GEN,G01177FWEN0000230782010323310323GEN,1.0,2023-04-25,Redeemed,2023-07-01,TotalEnergies Gas & Power Limited,,230.783,wind,2023-03-01,2023-04-01,1
G01177FWEN,Walney Extension,659000.0,REGO,England,Off-shore Wind,,01/02/2023 - 28/02/2023,13630,G01177FWEN0000208615010223280223GEN,G01177FWEN0000222244010223280223GEN,1.0,2023-03-22,Redeemed,2023-07-01,Brook Green Trading Limited,,13.63,wind,2023-02-01,2023-03-01,1
G01177FWEN,Walney Extension,659000.0,REGO,England,Off-shore Wind,,01/02/2023 - 28/02/2023,9662,G01177FWEN0000222245010223280223GEN,G01177FWEN0000231906010223280223GEN,1.0,2023-03-22,Redeemed,2023-07-01,E.ON Next Energy Limited,,9.662,wind,2023-02-01,2023-03-01,1
G01821BWEN,Drax Power Station (REGO),4065000.0,REGO,England,Biomass,,Feb-2023,80338,G01821BWEN0000746467010223280223GEN,G01821BWEN0000826804010223280223GEN,1.0,2023-04-21,Redeemed,2023-07-01,Shell Energy Retail Limited,,80.338,biomass,2023-02-01,2023-03-01,1
G01821BWEN,Drax Power Station (REGO),4065000.0,REGO,England,Biomass,,Feb-2023,641467,G01821BWEN0000005000010223280223GEN,G01821BWEN0000646466010223280223GEN,1.0,2023-04-21,Redeemed,2023-07-01,Drax Energy Solutions Limited (Supplier),,641.467,biomass,2023-02-01,2023-03-01,1
G01821BWEN,Drax Power Station (REGO),4065000.0,REGO,England,Biomass,,Feb-2023,2043,G01821BWEN0000826805010223280223GEN,G01821BWEN0000828847010223280223GEN,1.0,2023-04-21,Redeemed,2023-07-01,EDF Energy Customers Plc,,2.043,biomass,2023-02-01,2023-03-01,1
G01821BWEN,Drax Power Station (REGO),4065000.0,REGO,England,Biomass,,Feb-2023,200000,G01821BWEN0000846467010223280223GEN,G01821BWEN0001046466010223280223GEN,1.0,2023-04-21,Redeemed,2023-07-01,EDF Energy Customers Plc,,200.0,biomass,2023-02-01,2023-03-01,1
G01821BWEN,Drax Power Station (REGO),4065000.0,REGO,England,Biomass,,Feb-2023,17619,G01821BWEN0000828848010223280223GEN,G01821BWEN0000846466010223280223GEN,1.0,2023-04-21,Redeemed,2023-07-01,EDF Energy Customers Plc,,17.619,biomass,2023-02-01,2023-03-01,1
G01821BWEN,Drax Power Station (REGO),4065000.0,REGO,England,Biomass,,Feb-2023,100000,G01821BWEN0001046467010223280223GEN,G01821BWEN0001146466010223280223GEN,1.0,2023-04-21,Redeemed,2023-07-01,EDF Energy Customers Plc,,100.0,biomass,2023-02-01,2023-03-01,1
G01177FWEN,Walney Extension,659000.0,REGO,England,Off-shore Wind,,01/02/2023 - 28/02/2023,99128,G01177FWEN0000109487010223280223GEN,G01177FWEN0000208614010223280223GEN,1.0,2023-03-22,Redeemed,2023-07-01,Octopus Energy Limited,,99.128,wind,2023-02-01,2023-03-01,1
G01187FWEN,Triton Knoll Offshore Windfarm,857250.0,REGO,England,Off-shore Wind,,01/02/2023 - 28/02/2023,20000,G01187FWEN0000250672010223280223GEN,G01187FWEN0000270671010223280223GEN,1.0,2023-04-27,Redeemed,2023-07-01,British Gas Trading Ltd,,20.0,wind,2023-02-01,2023-03-01,1
G01187FWEN,Triton Knoll Offshore Windfarm,857250.0,REGO,England,Off-shore Wind,,01/02/2023 - 28/02/2023,132243,G01187FWEN0000000000010223280223GEN,G01187FWEN0000132242010223280223GEN,1.0,2023-04-27,Redeemed,2023-07-01,British Gas Trading Ltd,,132.243,wind,2023-02-01,2023-03-01,1
G01177FWEN,Walney Extension,659000.0,REGO,England,Off-shore Wind,,01/02/2023 - 28/02/2023,16487,G01177FWEN0000000000010223280223GEN,G01177FWEN0000016486010223280223GEN,1.0,2023-03-22,Redeemed,2023-07-01,SINQ POWER LIMITED,,16.487,wind,2023-02-01,2023-03-01,1
G01821BWEN,Drax Power Station (REGO),4065000.0,REGO,England,Biomass,,Feb-2023,50000,G01821BWEN0001146467010223280223GEN,G01821BWEN0001196466010223280223GEN,1.0,2023-04-21,Redeemed,2023-07-01,YÜ ENERGY RETAIL LIMITED,,50.0,biomass,2023-02-01,2023-03-01,1
G01821BWEN,Drax Power Station (REGO),4065000.0,REGO,England,Biomass,,Jan-2023,200000,G01821BWEN0000839797010123310123GEN,G01821BWEN0001039796010123310123GEN,1.0,2023-03-28,Redeemed,2023-07-01,Hudson Energy,,200.0,biomass,2023-01-01,2023-02-01,1
